country,year,iso_code,population,co2,co2_per_capita,cumulative_co2,consumption_co2,consumption_co2_per_capita,share_global_co2,share_global_cumulative_co2
China,2023,CHN,1422584930,12172.0087890625,8.55626106262207,272798,10857.025390625,7.631899833679199,31.952524185180664,15.067344665527344
United States,2023,USA,343477330,4918.40673828125,14.319450378417969,429962.46875,5431.6591796875,15.81373405456543,12.91122341156006,23.747947692871097
India,2023,IND,1438069597,3062.75634765625,2.1297693252563477,62879.05078125,2543.21533203125,1.768492579460144,8.03998851776123,3.472973585128784
European Union (27),2023,NA,450657572,2484.99658203125,5.514156818389893,298475.6875,3302.199462890625,7.327513694763184,6.523321151733398,16.4855899810791
Russia,2023,RUS,145440502,1733.1346435546875,11.91645050048828,121027.703125,1405.9815673828125,9.667057037353516,4.549621105194092,6.684675693511963
Japan,2023,JPN,124370947,986.91015625,7.935214519500732,68650.40625,1142.2994384765625,9.1846160888671875,2.5907206535339355,3.791741132736206
Germany,2023,DEU,84548233,593.7659912109375,7.022808074951172,94563.3515625,768.4810791015625,9.089262962341309,1.5586848258972168,5.22298002243042
United Kingdom,2023,GBR,68682965,307.8261413574219,4.481841087341309,79766.546875,487.0997619628906,7.092002868652344,0.8080689907073975,4.40571403503418
Singapore,2023,SGP,5789092,51.0676155090332,8.821352005004883,2193.785888671875,186.9256896972656,32.2892951965332,0.1340567022562027,0.12116850167512894
